time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,-1.067945040484694,0.0
1e-06,-0.034829893994234695,-0.5591227135903517,-1.1058364791306112,-0.034829893994234695
2e-06,-0.13497443881259408,-1.0548884407366093,-1.1445287968147224,-0.13497443881259408
3e-06,-0.2908701038615852,-1.4494281956607713,-1.1732183580771498,-0.2908701038615852
4e-06,-0.4890762078131514,-1.738382914834226,-1.19402529965996,-0.4890762078131514
4.9999999999999996e-06,-0.715495979027027,-1.9060496790611527,-1.1798136031065043,-0.715495979027027
6e-06,-0.9527317985317467,-1.9139029701586967,-1.1397090039551863,-0.9527317985317467
7e-06,-1.181637633460028,-1.7648978075909172,-1.1275300437750586,-1.181637633460028
8e-06,-1.3847570123234358,-1.5108487745482655,-1.172085977188958,-1.3847570123234358
9e-06,-1.5510172748644195,-1.1760990188416802,-1.2580604470276828,-1.5510172748644195
9.999999999999999e-06,-1.6725463596667203,-0.7866757234362566,-1.3263597206814703,-1.6725463596667203
1.1e-05,-1.746695880772421,-0.42052725749639724,-1.4134439131146301,-1.746695880772421
1.2e-05,-1.7784087160414304,-0.10320080498849575,-1.5089315784944002,-1.7784087160414304
1.3e-05,-1.7760853377852994,0.13228399035730254,-1.6042672674888359,-1.7760853377852994
1.4e-05,-1.7480392447471296,0.3084667413329066,-1.697903265859918,-1.7480392447471296
1.4999999999999999e-05,-1.7031961309002157,0.4046045438651316,-1.8270787505451274,-1.7031961309002157
1.6e-05,-1.6527424331685066,0.40226386583274804,-1.9307317723282655,-1.6527424331685066
1.7e-05,-1.607599522442287,0.32333045196192356,-1.9891228110293961,-1.607599522442287
1.8e-05,-1.5751840379429953,0.19940617425867102,-2.022951355988771,-1.5751840379429953
1.8999999999999998e-05,-1.559623825601341,0.04868463780946001,-2.048087255408364,-1.559623825601341
1.9999999999999998e-05,-1.563314314880106,-0.1068344228107986,-2.0534419172228855,-1.563314314880106
2.1e-05,-1.58542742003191,-0.2480634685525885,-2.0552150566395317,-1.58542742003191
2.2e-05,-1.6235824564034282,-0.3683393452773304,-2.112384008749505,-1.6235824564034282
2.3e-05,-1.676239482332884,-0.48009942160120045,-2.1050899676523227,-1.676239482332884
2.4e-05,-1.7401113032992688,-0.5443267337732317,-2.064846698831651,-1.7401113032992688
2.4999999999999998e-05,-1.8079139485465114,-0.543739223839037,-2.039004859019462,-1.8079139485465114
2.6e-05,-1.8724188241739201,-0.4948122294562673,-2.0180421060968072,-1.8724188241739201
2.7e-05,-1.9280274668075879,-0.39765718438685815,-1.976688431510718,-1.9280274668075879
2.8e-05,-1.9689178100795466,-0.2601796366823506,-1.946211454414739,-1.9689178100795466
2.9e-05,-1.9912102006120347,-0.09925140056673343,-1.9563240486383187,-1.9912102006120347
2.9999999999999997e-05,-1.993798228591319,0.055782300982527344,-1.9049584464126703,-1.993798228591319
3.1e-05,-1.9765827024826268,0.2272317656012285,-1.8295757258110616,-1.9765827024826268
3.2e-05,-1.937274229185282,0.40621264188568573,-1.729077278275214,-1.937274229185282
3.2999999999999996e-05,-1.8769363562122088,0.5793328860342326,-1.6346981065514672,-1.8769363562122088
3.4e-05,-1.7918988645970655,0.7986259966686028,-1.4994250217842735,-1.7918988645970655
3.5e-05,-1.6807111558640382,0.9964800747774806,-1.3498387069340518,-1.6807111558640382
3.6e-05,-1.546763079027196,1.1782287924617276,-1.2017020732749253,-1.546763079027196
3.7e-05,-1.3888796378700232,1.370076053026456,-1.0866291732096616,-1.3888796378700232
3.7999999999999995e-05,-1.2110490556369164,1.4984208740535871,-0.9465041294905443,-1.2110490556369164
3.9e-05,-1.0193203977245227,1.6053633467087634,-0.7802358832828288,-1.0193203977245227
3.9999999999999996e-05,-0.8169767291144685,1.6648056575776427,-0.5931502075317114,-0.8169767291144685
4.1e-05,-0.6078411560996136,1.7186212278765554,-0.44400042422002495,-0.6078411560996136
4.2e-05,-0.3968152110340074,1.6797214835591323,-0.31529467908027725,-0.3968152110340074
4.2999999999999995e-05,-0.19502387810995814,1.582037041202443,-0.14393331177838828,-0.19502387810995814
4.4e-05,-0.00519869000633268,1.4962601545145378,-0.014012811864924568,-0.00519869000633268
4.4999999999999996e-05,0.1712239574501109,1.3438569191111942,0.09381751921298567,0.1712239574501109
4.6e-05,0.3266210771988854,1.1756094129748316,0.22048296770557316,0.3266210771988854
4.7e-05,0.461293764035279,1.0052061923975748,0.34345685352817185,0.461293764035279
4.8e-05,0.5751247187153256,0.8411949533630737,0.46193506151167973,0.5751247187153256
4.9e-05,0.6687177623273685,0.6695326875362633,0.5550613423952997,0.6687177623273685
4.9999999999999996e-05,0.74113215380879,0.5086340385035967,0.6290797860862483,0.74113215380879
5.1e-05,0.7946375569496532,0.35543658130101047,0.6638429646963863,0.7946375569496532
5.2e-05,0.8289897629201649,0.2052411269905128,0.7306286673255848,0.8289897629201649
5.3e-05,0.8465147177827339,0.08115799130690173,0.7864454194629962,0.8465147177827339
5.4e-05,0.8505334706829589,-0.009236500964935465,0.8126212068245084,0.8505334706829589
5.4999999999999995e-05,0.8448008689763551,-0.08199860121461526,0.8421078641725874,0.8448008689763551
5.6e-05,0.8314728841026542,-0.13073803057080613,0.8419953013689161,0.8314728841026542
5.6999999999999996e-05,0.8130299864305719,-0.16557443396997437,0.780770876647807,0.8130299864305719
5.8e-05,0.7895882268382286,-0.21432844176418864,0.6774847644806683,0.7895882268382286
5.9e-05,0.7581704069066246,-0.2952887537506917,0.5957504958682646,0.7581704069066246
5.9999999999999995e-05,0.7157592171301473,-0.39606513967492013,0.5217119229860075,0.7157592171301473
6.1e-05,0.6597908707157344,-0.5085088848826141,0.4589258233279302,0.6597908707157344
6.2e-05,0.5905092618272679,-0.6094342735495196,0.4262458710719105,0.5905092618272679
6.3e-05,0.5107738711294232,-0.674707669604656,0.3627839253458154,0.5107738711294232
6.4e-05,0.42433991584118014,-0.7250255079716688,0.27211098968045844,0.42433991584118014
6.5e-05,0.3318147487397169,-0.7645411093649717,0.17647730750309326,0.3318147487397169
6.599999999999999e-05,0.23530441062132057,-0.7958847762243172,0.09365735821503872,0.23530441062132057
6.7e-05,0.135548382954548,-0.818572001998627,0.019584496685467818,0.135548382954548
6.8e-05,0.034429086926595104,-0.8106055051729112,-0.05344333386271458,0.034429086926595104
6.9e-05,-0.0639946985826253,-0.7795341098502567,-0.12031328486414754,-0.0639946985826253
7e-05,-0.1576233984245657,-0.7371918754999086,-0.18625960514139034,-0.1576233984245657
7.099999999999999e-05,-0.2451815393626964,-0.6774002530217015,-0.2712832335493449,-0.2451815393626964
7.2e-05,-0.3258480017751718,-0.6331162330200761,-0.3707319136707862,-0.3258480017751718
7.3e-05,-0.4009169559613187,-0.576110918567225,-0.45805526047593526,-0.4009169559613187
7.4e-05,-0.46886142436439693,-0.5299161945727628,-0.5649807997613917,-0.46886142436439693
7.5e-05,-0.5329163746749978,-0.5013511431421848,-0.6981895272005615,-0.5329163746749978
7.599999999999999e-05,-0.5946017348418928,-0.5124409440303435,-0.8273196587447732,-0.5946017348418928
7.7e-05,-0.6605634106901116,-0.5564032733021632,-0.9213806052207933,-0.6605634106901116
7.8e-05,-0.7320485902181477,-0.5993348722471475,-0.9324217390189575,-0.7320485902181477
7.9e-05,-0.8066408733128381,-0.5983616315786223,-0.9337329773424392,-0.8066408733128381
7.999999999999999e-05,-0.8783131703735001,-0.5541424467029757,-0.8990415676104044,-0.8783131703735001
8.099999999999999e-05,-0.9411586633134402,-0.45623364464488736,-0.8433843300914232,-0.9411586633134402
8.2e-05,-0.9884990385764185,-0.3019619216172662,-0.8162535520312286,-0.9884990385764185
8.3e-05,-1.0147053986331813,-0.1202743272449831,-0.7826881683321473,-1.0147053986331813
8.4e-05,-1.0173942156398452,0.07462760805891261,-0.8023176597010797,-1.0173942156398452
8.499999999999999e-05,-0.9976583015016224,0.23503125185050042,-0.9014334010451057,-0.9976583015016224
8.599999999999999e-05,-0.9628325578091969,0.32597838053652545,-0.9958641903594344,-0.9628325578091969
8.7e-05,-0.9207660442456528,0.3462396657742229,-1.1171421843436806,-0.9207660442456528
8.8e-05,-0.8816357328640606,0.2790646615456165,-1.2185362494385792,-0.8816357328640606
8.9e-05,-0.8553070520163247,0.13341138071575406,-1.3022385274271455,-0.8553070520163247
8.999999999999999e-05,-0.8505599047598434,-0.05452382718780022,-1.310404082143697,-0.8505599047598434
9.099999999999999e-05,-0.8683413811655808,-0.22880827124091696,-1.2674196100250215,-0.8683413811655808
9.2e-05,-0.9047279098366433,-0.3550233630676754,-1.235050452543802,-0.9047279098366433
9.3e-05,-0.9537900030622195,-0.43293738199394843,-1.2349653670045315,-0.9537900030622195
9.4e-05,-1.0101849211163387,-0.4750127176579932,-1.2743206951351893,-1.0101849211163387
9.499999999999999e-05,-1.070509157698036,-0.49916920552472915,-1.3255163070715388,-1.070509157698036
9.6e-05,-1.1334620655072425,-0.5217594530394457,-1.3763554685307213,-1.1334620655072425
9.7e-05,-1.198593707957004,-0.5300026255497327,-1.4237794362531428,-1.198593707957004
9.8e-05,-1.2637024366303027,-0.5216428869573314,-1.4489059696701985,-1.2637024366303027
9.9e-05,-1.3264376128883324,-0.4890363548302461,-1.4396358044635258,-1.3264376128883324
9.999999999999999e-05,-1.3827401238062371,-0.4151473967667789,-1.414162541466436,-1.3827401238062371
0.000101,-1.4273671609066456,-0.3037130228967602,-1.417069984285198,-1.4273671609066456
0.000102,-1.4572678329788662,-0.17971898557741647,-1.4507780270662618,-1.4572678329788662
0.000103,-1.4722669947807032,-0.065150325219743,-1.4446575908316943,-1.4722669947807032
0.000104,-1.4733221174764755,0.04833579404359064,-1.4475248634326527,-1.4733221174764755
0.00010499999999999999,-1.460662933655026,0.15374240538751685,-1.4712336538839885,-1.460662933655026
0.000106,-1.437333620354671,0.21685457910821393,-1.518938934221887,-1.437333620354671
0.000107,-1.408518991716805,0.24524567811758455,-1.6160629020444042,-1.408518991716805
0.000108,-1.3800705477083302,0.20850230542658996,-1.721970954325899,-1.3800705477083302
0.00010899999999999999,-1.3604679842932657,0.10391195899337924,-1.8155858811880197,-1.3604679842932657
0.00010999999999999999,-1.357010121500856,-0.0498173953859255,-1.8631434310055053,-1.357010121500856
0.000111,-1.3735328700612013,-0.21601333722470328,-1.8661195865737323,-1.3735328700612013
0.000112,-1.4093876459006143,-0.35923462927777644,-1.8446778306566904,-1.4093876459006143
0.000113,-1.4598160820463895,-0.4460415403760927,-1.78356178975109,-1.4598160820463895
0.00011399999999999999,-1.517163002405367,-0.476896705723532,-1.7034340698986212,-1.517163002405367
0.00011499999999999999,-1.574105620984147,-0.43039817894626214,-1.6217118980195397,-1.574105620984147
0.000116,-1.6201713194301914,-0.3125289931466511,-1.5391225176873862,-1.6201713194301914
0.000117,-1.6485685713783196,-0.1344777270667439,-1.4676138803652414,-1.6485685713783196
0.000118,-1.6519414692210492,0.08121027704348073,-1.4139636143575292,-1.6519414692210492
0.00011899999999999999,-1.6278729536828922,0.3080719278292091,-1.3804065769461633,-1.6278729536828922
0.00011999999999999999,-1.5769702601864586,0.5102098409126432,-1.3786618433657325,-1.5769702601864586
0.000121,-1.5038979879633252,0.6649158969286648,-1.3768085175103872,-1.5038979879633252
0.000122,-1.415123027018913,0.7626353150384636,-1.3891980840589333,-1.415123027018913
0.00012299999999999998,-1.3182881757867446,0.7953029290798549,-1.3747098112220453,-1.3182881757867446
0.000124,-1.2205538169902985,0.7803653225042275,-1.3553153934420368,-1.2205538169902985
0.000125,-1.1277112798441646,0.7170335185320941,-1.3270844718417443,-1.1277112798441646
0.000126,-1.0451844551162677,0.6175102551315399,-1.274130646241721,-1.0451844551162677
0.000127,-0.9746722201140043,0.5233684452608589,-1.2104245832027765,-0.9746722201140043
0.000128,-0.9163603404960514,0.4191766083599027,-1.1949593230451612,-0.9163603404960514
0.000129,-0.8722183868743812,0.2927061625532326,-1.1858242558940397,-0.8722183868743812
0.00013,-0.8441817207064177,0.1597898097443243,-1.1588725474847341,-0.8441817207064177
0.00013099999999999999,-0.832642520422035,0.02921449557686377,-1.1724051351979994,-0.832642520422035
0.00013199999999999998,-0.8368286405584848,-0.09346959464892009,-1.1960028384890604,-0.8368286405584848
0.000133,-0.8561695627528672,-0.2275063316460586,-1.285001304465368,-0.8561695627528672
0.000134,-0.8933684625916509,-0.3709215787475,-1.4018548843698746,-0.8933684625916509
0.000135,-0.9491837080630069,-0.535423657200434,-1.5130977687418292,-0.9491837080630069
0.000136,-1.027373352833654,-0.7401178343805707,-1.6584955434035922,-1.027373352833654
0.000137,-1.1306484917220287,-0.9176822755429677,-1.8278371698042402,-1.1306484917220287
0.000138,-1.2560409690044625,-1.1276423005079834,-2.0013628609189325,-1.2560409690044625
0.000139,-1.4091203222580222,-1.3443990300102806,-2.095571429128574,-1.4091203222580222
0.00014,-1.5852628321004327,-1.495447193795961,-2.1413307277223876,-1.5852628321004327
0.00014099999999999998,-1.7737967880375496,-1.5402315917379645,-2.1505015680582953,-1.7737967880375496
0.00014199999999999998,-1.9610633191395692,-1.4757827174224436,-2.151184030671975,-1.9610633191395692
0.000143,-2.133879868696667,-1.3081462097501897,-2.1649303393971766,-2.133879868696667
0.000144,-2.2809465830396887,-1.0644291926678842,-2.219435793013291,-2.2809465830396887
0.000145,-2.396292731714395,-0.8006902167674658,-2.280229537151458,-2.396292731714395
0.000146,-2.477737486985041,-0.5189198139927175,-2.3375844996462942,-2.477737486985041
0.000147,-2.5243918811595103,-0.23814445072890603,-2.3422424702833577,-2.5243918811595103
0.000148,-2.535521350278759,0.05754696445435026,-2.2782976123753085,-2.535521350278759
0.000149,-2.5104752223505593,0.3487954477032782,-2.1489605154730307,-2.5104752223505593
0.00015,-2.450065706275069,0.6416258508731073,-1.9932334150097604,-2.450065706275069
0.00015099999999999998,-2.3496847490156316,0.9802543945777734,-1.8701499575745593,-2.3496847490156316
0.00015199999999999998,-2.2087142613105866,1.2896465956080758,-1.7873712745680277,-2.2087142613105866
0.000153,-2.035323988446191,1.512627024019494,-1.6877702542601831,-2.035323988446191
0.000154,-1.8365999335710226,1.6929424939658038,-1.590407431474364,-1.8365999335710226
0.000155,-1.6208303658434944,1.781662257013379,-1.5477856856155854,-1.6208303658434944
0.000156,-1.401689080173027,1.7454187268909134,-1.4978547472746355,-1.401689080173027
0.000157,-1.1925866963177303,1.6299256057285625,-1.4178266377619464,-1.1925866963177303
0.000158,-1.0021338106819058,1.4563139973861852,-1.3347947312737505,-1.0021338106819058
0.000159,-0.8367260641023904,1.2093673060723578,-1.2680668659450969,-0.8367260641023904
0.00015999999999999999,-0.705197547984165,0.9142626441768246,-1.2421313886230079,-0.705197547984165
0.00016099999999999998,-0.6116517042641019,0.6007472049247852,-1.2574867165785506,-0.6116517042641019
0.00016199999999999998,-0.5585923258829628,0.2547545657649932,-1.251488311335622,-0.5585923258829628
0.000163,-0.5484629668524023,-0.08743905005277479,-1.244535723926998,-0.5484629668524023
0.000164,-0.5791036385459789,-0.4011131571898962,-1.2267792685936378,-0.5791036385459789
0.000165,-0.6455807548142919,-0.6599007792122892,-1.146385311089386,-0.6455807548142919
0.000166,-0.7358187189349877,-0.7821396832455302,-1.0336593595464503,-0.7358187189349877
0.000167,-0.8349803840614086,-0.811913231620629,-0.9135944715028115,-0.8349803840614086
0.000168,-0.9314932159376198,-0.7277054363673471,-0.7862843137999188,-0.9314932159376198
0.000169,-1.0091508839609566,-0.524662298341113,-0.6105486976347942,-1.0091508839609566
0.00016999999999999999,-1.0557110188889265,-0.19524615278273086,-0.38442224256245905,-1.0557110188889265
0.00017099999999999998,-1.0532303603452047,0.23093983506644714,-0.1427306323767807,-1.0532303603452047
0.00017199999999999998,-0.9944485797024801,0.7378276088398291,0.07221744673385383,-0.9944485797024801
0.000173,-0.868740347661654,1.2803831332505466,0.19482356448202975,-0.868740347661654
0.000174,-0.680654676942169,1.7600387829718664,0.2852272567133004,-0.680654676942169
0.000175,-0.4385403224145629,2.1363682530039028,0.3582026408519776,-0.4385403224145629
0.000176,-0.15859262637134228,2.3737799574274447,0.42790583094172224,-0.15859262637134228
0.000177,0.14144546670354036,2.465342488439244,0.4926821575968301,0.14144546670354036
0.000178,0.4435716598062486,2.4010484547351854,0.46172966760474105,0.4435716598062486
0.000179,0.7262010606198042,2.1490581992223055,0.3964347579511194,0.7262010606198042
0.00017999999999999998,0.9672785386237711,1.724576656558958,0.33881743732795166,0.9672785386237711
0.00018099999999999998,1.147927509923254,1.1872797767852852,0.2636124699250391,1.147927509923254
0.00018199999999999998,1.2552970080757617,0.5366144925728938,0.1572157540037252,1.2552970080757617
0.000183,1.2783455349843458,-0.16525740295121172,0.08440987509146729,1.2783455349843458
0.000184,1.2152514383659487,-0.8504175731398501,0.02915491123223244,1.2152514383659487
0.000185,1.071664528124135,-1.4547482347767742,-0.04383480732084101,1.071664528124135
0.000186,0.8605527892129285,-1.9482476922970013,-0.09653587630691593,0.8605527892129285
0.000187,0.5961195677498087,-2.308560486521227,-0.11276919698575008,0.5961195677498087
0.000188,0.2975407377841176,-2.4947569353931214,-0.11308446797067144,0.2975407377841176
0.00018899999999999999,-0.012343200365859591,-2.491127537997412,-0.08696847827228972,-0.012343200365859591
0.00018999999999999998,-0.3092299510268552,-2.2909810861081525,-0.05895460079517022,-0.3092299510268552
0.00019099999999999998,-0.5710626656913436,-1.9264155399340073,-0.055942564243801174,-0.5710626656913436
