time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,-1.067945040484694,0.0
1e-06,-0.03646813195157037,-0.5856244791730546,-1.1058364791306112,-0.03646813195157037
2e-06,-0.14317869889925647,-1.1342852267984433,-1.1445287968147226,-0.14317869889925647
3e-06,-0.3157339362207333,-1.6793143213318913,-1.1732183580771498,-0.3157339362207333
4e-06,-0.5671196327980861,-2.3990791311042368,-1.19402529965996,-0.5671196327980861
4.9999999999999996e-06,-0.8861167317325858,-2.616020636924207,-1.1798136031065043,-0.8861167317325858
6e-06,-1.1779668639825422,-2.064951150675112,-1.1397090039551865,-1.1779668639825422
7e-06,-1.3950556549599067,-1.4923318416347622,-1.1275300437750588,-1.3950556549599067
8e-06,-1.5511788993826896,-1.0352523414900923,-1.1720859771889582,-1.5511788993826896
9e-06,-1.6516952941792091,-0.6063258559503514,-1.258060447027683,-1.6516952941792091
9.999999999999999e-06,-1.7023844909008023,-0.2204497948480829,-1.3263597206814706,-1.7023844909008023
1.1e-05,-1.7082344711220019,0.12125675383060962,-1.4134439131146304,-1.7082344711220019
1.2e-05,-1.6759070138827068,0.39269348561865874,-1.5089315784944004,-1.6759070138827068
1.3e-05,-1.6159083680999118,0.5566609036598242,-1.604267267488836,-1.6159083680999118
1.4e-05,-1.5429736837208259,0.616788263955744,-1.6979032658599185,-1.5429736837208259
1.4999999999999999e-05,-1.4684583914900695,0.563842592453316,-1.827078750545128,-1.4684583914900695
1.6e-05,-1.4082274138524762,0.3998339571868303,-1.9307317723282658,-1.4082274138524762
1.7e-05,-1.3726341541510934,0.16600181116064996,-1.989122811029397,-1.3726341541510934
1.8e-05,-1.3681423578391252,-0.09163858626891493,-2.0229513559887713,-1.3681423578391252
1.8999999999999998e-05,-1.395658144684786,-0.3510729720885742,-2.0480872554083644,-1.395658144684786
1.9999999999999998e-05,-1.4536693201518245,-0.5817191454638055,-2.053441917222886,-1.4536693201518245
2.1e-05,-1.53687724297005,-0.7559007992326191,-2.0552150566395317,-1.53687724297005
2.2e-05,-1.637378810556075,-0.861243201868135,-2.112384008749505,-1.637378810556075
2.3e-05,-1.7474363193615088,-0.9113968791867983,-2.1050899676523223,-1.7474363193615088
2.4e-05,-1.8597497099065214,-0.896101687737858,-2.0648466988316505,-1.8597497099065214
2.4999999999999998e-05,-1.964998307913523,-0.7933908945071377,-2.0390048590194616,-1.964998307913523
2.6e-05,-2.0526043448195237,-0.615236451649343,-2.0180421060968072,-2.0526043448195237
