time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,151.41159120159043,0.0
1e-06,5.477098770453395,2.886385495886354,138.20976722821266,5.477098770453395
2e-06,20.572037357242117,5.1586024655227956,123.16281304371688,20.572037357242117
3e-06,42.633976028308766,6.606743728636854,113.5902083061564,42.633976028308766
4e-06,68.6424185664199,7.339739188774327,108.21807987052213,68.6424185664199
4.9999999999999996e-06,96.15210332871749,7.405941466764133,102.32405937259153,96.15210332871749
6e-06,122.69222644548886,6.811524342912838,96.2813193110114,122.69222644548886
7e-06,146.03783442633227,5.719793996705352,81.81018283985915,146.03783442633227
8e-06,163.94844500089044,3.822260783180456,60.081774942790915,163.94844500089044
9e-06,173.75852429101687,1.4560169038044184,43.62210825966156,173.75852429101687
9.999999999999999e-06,174.40604962949902,-1.1431989920634997,33.12830978241011,174.40604962949902
1.1e-05,165.24600468722033,-3.749840641663815,32.33178506960512,165.24600468722033
1.2e-05,147.12160337193714,-5.9296909202266175,47.24535395404959,147.12160337193714
1.3e-05,122.40563163293746,-7.279731775753124,64.62394484067033,122.40563163293746
1.4e-05,94.46637691762733,-7.650801655446347,73.96764410445462,94.46637691762733
1.4999999999999999e-05,66.60630282396698,-7.286951570346873,82.64636587958721,66.60630282396698
1.6e-05,41.29235509420506,-6.2993416947415,80.62935755731917,41.29235509420506
1.7e-05,20.353245756154248,-4.95500145233437,73.02348859009282,20.353245756154248
1.8e-05,4.778655897979636,-3.446483756197581,67.62994907481331,4.778655897979636
1.8999999999999998e-05,-5.054867006471419,-1.8508473753333843,70.99347403340904,-5.054867006471419
1.9999999999999998e-05,-8.88326190394963,-0.21745895075564026,68.80499669069123,-8.88326190394963
2.1e-05,-6.909068568425651,1.2362474457274315,59.9078359253561,-6.909068568425651
2.2e-05,-0.11099958027046686,2.377086509314667,49.43920509087712,-0.11099958027046686
2.3e-05,10.066904961811208,3.0316638209672533,38.506747777820195,10.066904961811208
2.4e-05,21.854855856884313,3.283316814055139,33.61122274882588,21.854855856884313
2.4999999999999998e-05,33.88831098550786,3.1432752809348834,22.7993726929555,33.88831098550786
2.6e-05,44.65723952136949,2.6181808330317535,5.567342152790945,44.65723952136949
2.7e-05,52.480585925395,1.500291835771766,-12.160392089654156,52.480585925395
2.8e-05,55.47957452451614,0.12614061470367033,-25.5200900012226,55.47957452451614
2.9e-05,53.18387655069625,-1.3872466519396818,-22.932463780426062,53.18387655069625
2.9999999999999997e-05,45.4850700996842,-2.695098874584404,-12.343359232208563,45.4850700996842
3.1e-05,33.82959702706311,-3.5256553871416223,-4.38903332897501,33.82959702706311
3.2e-05,19.92320174741285,-3.920099816778692,-4.07488364477677,19.92320174741285
3.2999999999999996e-05,5.152345910263828,-4.00779164039922,-2.0778713979044126,5.152345910263828
3.4e-05,-9.36625178460287,-3.7977377804984758,-7.628237738629454,-9.36625178460287
3.5e-05,-22.796898456731274,-3.444444443688554,-20.03004728463339,-22.796898456731274
3.6e-05,-34.9338047217762,-3.0996753331572657,-23.526854072235537,-34.9338047217762
3.7e-05,-45.53874198924039,-2.5878495917034035,-20.793061097335546,-45.53874198924039
3.7999999999999995e-05,-53.79791576383188,-1.8282759747845545,-12.107322858640563,-53.79791576383188
3.9e-05,-58.79821632727625,-0.8502418491808444,-1.018342700199079,-58.79821632727625
3.9999999999999996e-05,-59.74236697974251,0.3935468355187015,11.592004400850682,-59.74236697974251
4.1e-05,-55.753876642633045,1.7446455669557412,16.47491384446055,-55.753876642633045
4.2e-05,-46.91682415530808,2.995170803790122,13.970737998114966,-46.91682415530808
4.2999999999999995e-05,-34.05127612917169,3.8934364501977914,13.150653531051441,-34.05127612917169
4.4e-05,-18.515755742838934,4.435822865813327,7.473548001008482,-18.515755742838934
4.4999999999999996e-05,-1.784640847739972,4.498976868175575,-2.660964335180334,-1.784640847739972
4.6e-05,14.159113172356903,4.034862904843899,-13.654560907461144,14.159113172356903
4.7e-05,27.40567129765266,3.0428215627058526,-22.59657352535097,27.40567129765266
4.8e-05,36.40490719265699,1.7958490964337952,-32.95469239340087,36.40490719265699
4.9e-05,40.341384653432804,0.32290352970391867,-49.432860794205524,40.341384653432804
4.9999999999999996e-05,38.494861221063815,-1.3768494915166989,-69.72429131414899,38.494861221063815
5.1e-05,29.67795152828578,-3.385016323512573,-96.172024393135,29.67795152828578
5.2e-05,13.06125473888535,-5.549823087348115,-115.76213560040827,13.06125473888535
5.3e-05,-11.322909638748603,-7.518144253445245,-138.19238603475918,-11.322909638748603
5.4e-05,-42.49997454054221,-9.262220703550645,-160.5950357148582,-42.49997454054221
5.4999999999999995e-05,-79.63765922168974,-10.720636429592476,-176.40995921305347,-79.63765922168974
5.6e-05,-121.18804008737716,-11.57128996535396,-186.50996583644996,-121.18804008737716
