time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,1.0208785539021858,0.0
1e-06,0.025816615207647796,0.5311663205720877,0.9694798253252026,0.025816615207647796
2e-06,0.09745540272633034,0.9570091091355621,0.8953453006525036,0.09745540272633034
3e-06,0.20421168513901544,1.2633889026513292,0.8311053289205746,0.20421168513901544
4e-06,0.33430769823140444,1.4454481590878068,0.8243478583308488,0.33430769823140444
4.9999999999999996e-06,0.4765321676348776,1.527058770033066,0.8409787242922461,0.4765321676348776
6e-06,0.6223870753403217,1.5208292311636178,0.8247536730639172,0.6223870753403217
7e-06,0.7631250098463149,1.4184920367255824,0.8228582171468062,0.7631250098463149
8e-06,0.8904866871029528,1.246272800084894,0.8331864009929326,0.8904866871029528
9e-06,0.9988798104586868,1.0249126209865922,0.8052798011729048,0.9988798104586868
9.999999999999999e-06,1.0842657669932811,0.7558567309852401,0.7484666196294608,1.0842657669932811
1.1e-05,1.1398193137499248,0.40195790395349823,0.6388288469504668,1.1398193137499248
1.2e-05,1.1599328144284209,0.016644257283337294,0.5372216990493728,1.1599328144284209
1.3e-05,1.1419687865273827,-0.396059541843834,0.43053155603708193,1.1419687865273827
1.4e-05,1.0850709846611533,-0.7992262621616989,0.2886323587535907,1.0850709846611533
1.4999999999999999e-05,0.9886848279453703,-1.2272945410082103,0.13973537117473128,0.9886848279453703
1.6e-05,0.8522026435951185,-1.6371134116412653,0.014317422956758705,0.8522026435951185
1.7e-05,0.6221090676230611,-3.219298294569974,-0.10163290005857664,0.6221090676230611
1.8e-05,0.2811877725506418,-3.590166920863261,-0.1857798757258108,0.2811877725506418
1.8999999999999998e-05,-0.030007066556910267,-2.801148367348251,-0.2402997064804052,-0.030007066556910267
1.9999999999999998e-05,-0.24695100348330404,-1.8047564219093957,-0.30767136390444166,-0.24695100348330404
2.1e-05,-0.4026848228302674,-1.5202227114922113,-0.35842475851027567,-0.4026848228302674
2.2e-05,-0.5372787805409498,-1.2981474439742888,-0.3305347084610798,-0.5372787805409498
2.3e-05,-0.647909017067081,-1.0139005121809839,-0.29184404026828253,-0.647909017067081
2.4e-05,-0.7287705439442029,-0.6797634062685001,-0.2827826091077764,-0.7287705439442029
2.4999999999999998e-05,-0.7768950382112269,-0.33000306046068845,-0.2883138322303015,-0.7768950382112269
2.6e-05,-0.7924515683777088,0.001166641842470284,-0.3225573230247749,-0.7924515683777088
2.7e-05,-0.7779028475974261,0.29381878808718626,-0.31896105507727524,-0.7779028475974261
2.8e-05,-0.7375380448235402,0.5467589137535378,-0.2840038674976181,-0.7375380448235402
2.9e-05,-0.6739417063463233,0.7809484990983465,-0.20838403621715584,-0.6739417063463233
2.9999999999999997e-05,-0.5882152304334975,1.0180289364569528,-0.1048181107715302,-0.5882152304334975
3.1e-05,-0.4820466474143292,1.2079387765708476,0.008038877847338798,-0.4820466474143292
3.2e-05,-0.35989585336334223,1.3609725186083113,0.13559013018985727,-0.35989585336334223
3.2999999999999996e-05,-0.22256702477849413,1.514606339776997,0.24664889379758384,-0.22256702477849413
3.4e-05,-0.07227118798181255,1.62863792707397,0.307456213311563,-0.07227118798181255
3.5e-05,0.08535937746238843,1.6666371145877212,0.3135618372751853,0.08535937746238843
3.6e-05,0.2413542012170616,1.5904598873208995,0.2732166576103782,0.2413542012170616
3.7e-05,0.3848606401273096,1.4005617342750305,0.17056932804276992,0.3848606401273096
3.7999999999999995e-05,0.5044861340272384,1.0981029001748563,0.10954389968879139,0.5044861340272384
3.9e-05,0.5924015433322093,0.7398201147611793,0.017650582993765023,0.5924015433322093
3.9999999999999996e-05,0.642650420897549,0.30597831673359105,-0.08389183700452667,0.642650420897549
4.1e-05,0.6502573763472714,-0.1495796349942158,-0.2250896342532839,0.6502573763472714
4.2e-05,0.6127648809191621,-0.6325828787040156,-0.412982035187517,0.6127648809191621
4.2999999999999995e-05,0.5278048311952133,-1.1368102990328162,-0.583350328976203,0.5278048311952133
4.4e-05,0.39629051291977474,-1.6268843141384048,-0.729084141325447,0.39629051291977474
4.4999999999999996e-05,0.13222652173094201,-3.9714244142092245,-0.8445669003419463,0.13222652173094201
4.6e-05,-0.290193487559047,-4.446534258883143,-0.9204942319570435,-0.290193487559047
4.7e-05,-0.6695320278488787,-3.376335936832986,-0.9865505738092638,-0.6695320278488787
4.8e-05,-0.923095896580938,-1.9636644160837669,-1.0201539208774162,-0.923095896580938
4.9e-05,-1.084059366046939,-1.5296776018669649,-1.022200524494912,-1.084059366046939
4.9999999999999996e-05,-1.2168598059275653,-1.2519720052785583,-1.023666382965625,-1.2168598059275653
5.1e-05,-1.3213416780377834,-0.9368703585486479,-1.0225759668771537,-1.3213416780377834
5.2e-05,-1.3943970680127113,-0.5917007112228762,-0.9971173732670031,-1.3943970680127113
5.3e-05,-1.4338100959463174,-0.23283066401297736,-0.9600939489642952,-1.4338100959463174
5.4e-05,-1.4391955013940398,0.1146936257533772,-0.9352943005754142,-1.4391955013940398
5.4999999999999995e-05,-1.4120938564225947,0.44533828873773107,-0.9796120261230372,-1.4120938564225947
5.6e-05,-1.3563092890351673,0.7116889692147182,-1.019842576295304,-1.3563092890351673
5.6999999999999996e-05,-1.2787492899765471,0.9069509268636216,-1.0323707989772004,-1.2787492899765471
5.8e-05,-1.186247789785034,1.0240362756106536,-1.0319468779407779,-1.186247789785034
5.9e-05,-1.0856975484121394,1.0789890763025838,-0.996935154422997,-1.0856975484121394
5.9999999999999995e-05,-0.9822956192756932,1.0869748269008268,-0.8960542823714187,-0.9822956192756932
6.1e-05,-0.8783262597496605,1.0978006271524932,-0.7828956737986572,-0.8783262597496605
6.2e-05,-0.7737740830239292,1.0910128188257924,-0.6686024019246916,-0.7737740830239292
6.3e-05,-0.6710387653937138,1.0688249410231998,-0.5978086187933991,-0.6710387653937138
6.4e-05,-0.5706899401121359,1.0326568431120777,-0.5716077631251056,-0.5706899401121359
6.5e-05,-0.4752915098828175,0.9592926634929886,-0.5749113255051425,-0.4752915098828175
6.599999999999999e-05,-0.3892501299637656,0.8389738872164653,-0.6081734773681852,-0.3892501299637656
6.7e-05,-0.3175988055828066,0.6575851993650487,-0.6454977817715137,-0.3175988055828066
