time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,-1.067945040484694,0.0
1e-06,-0.036468131951570344,-0.5856244791730545,-1.1058364791306112,-0.036468131951570344
2e-06,-0.14317869889925652,-1.1342852267984433,-1.1445287968147224,-0.14317869889925652
3e-06,-0.31573393622073365,-1.6793143213318904,-1.1732183580771498,-0.31573393622073365
4e-06,-0.567119632798086,-2.399079131104234,-1.19402529965996,-0.567119632798086
4.9999999999999996e-06,-0.8861167317325854,-2.616020636924205,-1.1798136031065043,-0.8861167317325854
6e-06,-1.177966863982542,-2.064951150675112,-1.1397090039551863,-1.177966863982542
7e-06,-1.3950556549599067,-1.4923318416347628,-1.1275300437750586,-1.3950556549599067
8e-06,-1.5511788993826892,-1.035252341490093,-1.172085977188958,-1.5511788993826892
9e-06,-1.6516952941792094,-0.606325855950356,-1.2580604470276828,-1.6516952941792094
9.999999999999999e-06,-1.702384490900803,-0.22044979484808777,-1.3263597206814703,-1.702384490900803
1.1e-05,-1.7082344711220028,0.12125675383060404,-1.4134439131146301,-1.7082344711220028
1.2e-05,-1.6759070138827084,0.39269348561864953,-1.5089315784944002,-1.6759070138827084
1.3e-05,-1.615908368099915,0.5566609036598033,-1.6042672674888359,-1.615908368099915
1.4e-05,-1.5429736837208317,0.6167882639557256,-1.697903265859918,-1.5429736837208317
1.4999999999999999e-05,-1.4684583914900786,0.5638425924532825,-1.8270787505451274,-1.4684583914900786
1.6e-05,-1.408227413852489,0.39983395718679776,-1.9307317723282655,-1.408227413852489
1.7e-05,-1.37263415415111,0.1660018111606205,-1.9891228110293961,-1.37263415415111
1.8e-05,-1.368142357839145,-0.09163858626893721,-2.022951355988771,-1.368142357839145
1.8999999999999998e-05,-1.3956581446848082,-0.3510729720885883,-2.048087255408364,-1.3956581446848082
1.9999999999999998e-05,-1.4536693201518476,-0.5817191454638053,-2.0534419172228855,-1.4536693201518476
2.1e-05,-1.5368772429700723,-0.7559007992326041,-2.0552150566395317,-1.5368772429700723
2.2e-05,-1.6373788105560945,-0.8612432018681093,-2.112384008749505,-1.6373788105560945
2.3e-05,-1.7474363193615245,-0.9113968791867689,-2.1050899676523227,-1.7474363193615245
2.4e-05,-1.8597497099065334,-0.8961016877378193,-2.064846698831651,-1.8597497099065334
2.4999999999999998e-05,-1.9649983079135294,-0.7933908945070886,-2.039004859019462,-1.9649983079135294
2.6e-05,-2.052604344819524,-0.6152364516492884,-2.0180421060968072,-2.052604344819524
2.7e-05,-2.114572009405872,-0.38222372608624844,-1.976688431510718,-2.114572009405872
2.8e-05,-2.1459500777476883,-0.12547133438951205,-1.946211454414739,-2.1459500777476883
2.9e-05,-2.145525929237078,0.1308229795900815,-1.9563240486383187,-2.145525929237078
2.9999999999999997e-05,-2.1143869974097975,0.3717743979692833,-1.9049584464126703,-2.1143869974097975
3.1e-05,-2.0538025369669253,0.6081017636717351,-1.8295757258110616,-2.0538025369669253
3.2e-05,-1.9653025136590274,0.8159771011343038,-1.729077278275214,-1.9653025136590274
